date,province,rainfall_mm,avg_temp_c
2021-05-06,Free State,0.0,23.5
2021-05-07,Free State,0.0,23.3
2021-05-08,Free State,0.0,24.4
2021-05-09,Free State,1.6,24.4
2021-05-10,Free State,0.0,26.3
2021-05-11,Free State,0.0,28.4
2021-05-12,Free State,0.0,26.3
2021-05-13,Free State,0.0,24.0
2021-05-14,Free State,0.0,24.0
2021-05-15,Free State,0.0,26.2
2021-05-16,Free State,0.0,22.4
2021-05-17,Free State,0.0,24.6
2021-05-18,Free State,0.0,24.8
2021-05-19,Free State,0.0,26.1
2021-05-20,Free State,0.0,26.2
2021-05-21,Free State,0.0,24.3
2021-05-22,Free State,0.0,24.8
2021-05-23,Free State,0.0,26.2
2021-05-24,Free State,0.0,24.4
2021-05-25,Free State,0.0,27.5
2021-05-26,Free State,0.0,26.7
2021-05-27,Free State,0.0,26.1
2021-05-28,Free State,0.0,26.5
2021-05-29,Free State,0.0,25.3
2021-05-30,Free State,0.0,25.2
2021-05-31,Free State,0.0,25.5
2021-06-01,Free State,0.0,27.0
2021-06-02,Free State,0.0,26.6
2021-06-03,Free State,0.0,25.8
2021-06-04,Free State,0.0,27.6
2021-06-05,Free State,0.0,26.3
2021-06-06,Free State,0.0,25.6
2021-06-07,Free State,0.0,27.0
2021-06-08,Free State,0.0,25.2
2021-06-09,Free State,0.0,24.3
2021-06-10,Free State,0.0,26.8
2021-06-11,Free State,0.0,25.9
2021-06-12,Free State,0.0,26.6
2021-06-13,Free State,0.0,25.6
2021-06-14,Free State,0.0,28.9
2021-06-15,Free State,0.0,26.1
2021-06-16,Free State,0.0,26.5
2021-06-17,Free State,0.0,27.8
2021-06-18,Free State,0.0,25.2
2021-06-19,Free State,0.0,25.2
2021-06-20,Free State,0.0,28.0
2021-06-21,Free State,0.5,26.8
2021-06-22,Free State,0.0,26.1
2021-06-23,Free State,0.0,28.4
2021-06-24,Free State,0.0,26.3
2021-06-25,Free State,0.0,27.2
2021-06-26,Free State,0.0,26.3
2021-06-27,Free State,0.0,28.1
2021-06-28,Free State,0.0,29.7
2021-06-29,Free State,0.0,24.9
2021-06-30,Free State,0.0,27.9
2021-07-01,Free State,0.0,29.1
2021-07-02,Free State,0.0,27.2
2021-07-03,Free State,0.0,26.1
2021-07-04,Free State,0.0,28.5
2021-07-05,Free State,0.0,29.4
2021-07-06,Free State,0.0,29.2
2021-07-07,Free State,0.0,28.5
2021-07-08,Free State,0.0,28.1
2021-07-09,Free State,0.0,26.6
2021-07-10,Free State,0.0,29.3
2021-07-11,Free State,0.0,29.2
2021-07-12,Free State,0.0,26.3
2021-07-13,Free State,0.0,28.5
2021-07-14,Free State,0.0,29.0
2021-07-15,Free State,0.0,29.3
2021-07-16,Free State,0.0,27.9
2021-07-17,Free State,0.0,26.7
2021-07-18,Free State,0.0,27.2
2021-07-19,Free State,0.0,26.5
2021-07-20,Free State,0.0,27.9
2021-07-21,Free State,0.0,27.6
2021-07-22,Free State,0.0,31.2
2021-07-23,Free State,0.0,29.3
2021-07-24,Free State,0.0,29.4
2021-07-25,Free State,0.0,28.6
2021-07-26,Free State,0.0,27.4
2021-07-27,Free State,0.0,27.5
2021-07-28,Free State,0.0,27.6
2021-07-29,Free State,0.0,28.1
2021-07-30,Free State,0.0,28.4
2021-07-31,Free State,0.0,27.8
2021-08-01,Free State,0.0,27.4
2021-08-02,Free State,0.0,26.9
2021-08-03,Free State,0.0,25.6
2021-08-04,Free State,0.0,29.6
2021-08-05,Free State,0.0,31.0
2021-08-06,Free State,0.0,29.4
2021-08-07,Free State,0.0,25.7
2021-08-08,Free State,0.0,28.7
2021-08-09,Free State,0.0,29.1
2021-08-10,Free State,0.0,26.9
2021-08-11,Free State,0.0,28.2
2021-08-12,Free State,0.0,26.7
2021-08-13,Free State,0.0,29.6
2021-08-14,Free State,0.0,27.8
2021-08-15,Free State,0.0,25.9
2021-08-16,Free State,0.0,28.2
2021-08-17,Free State,0.0,28.7
2021-08-18,Free State,0.0,27.4
2021-08-19,Free State,0.0,27.7
2021-08-20,Free State,0.0,26.9
2021-08-21,Free State,0.0,25.2
2021-08-22,Free State,0.0,26.6
2021-08-23,Free State,0.0,27.6
2021-08-24,Free State,0.0,26.5
2021-08-25,Free State,0.0,27.9
2021-08-26,Free State,0.0,26.0
2021-08-27,Free State,0.0,26.0
2021-08-28,Free State,0.0,27.7
2021-08-29,Free State,0.0,26.7
2021-08-30,Free State,0.0,25.7
2021-08-31,Free State,0.0,27.8
2021-09-01,Free State,0.0,25.1
2021-09-02,Free State,0.0,25.0
2021-09-03,Free State,0.0,21.8
2021-09-04,Free State,0.0,25.1
2021-09-05,Free State,0.0,27.8
2021-09-06,Free State,0.0,22.7
2021-09-07,Free State,0.0,24.3
2021-09-08,Free State,0.0,26.3
2021-09-09,Free State,0.0,22.2
2021-09-10,Free State,0.0,24.7
2021-09-11,Free State,0.0,27.1
2021-09-12,Free State,0.0,28.4
2021-09-13,Free State,0.0,25.6
2021-09-14,Free State,0.0,23.7
2021-09-15,Free State,0.0,23.6
2021-09-16,Free State,0.0,25.2
2021-09-17,Free State,0.0,25.3
2021-09-18,Free State,0.0,27.5
2021-09-19,Free State,0.0,26.1
2021-09-20,Free State,0.0,24.7
2021-09-21,Free State,0.0,24.0
2021-09-22,Free State,0.0,28.9
2021-09-23,Free State,0.0,25.2
2021-09-24,Free State,0.0,23.2
2021-09-25,Free State,0.0,23.8
2021-09-26,Free State,0.0,22.7
2021-09-27,Free State,0.0,20.3
2021-09-28,Free State,0.0,24.3
2021-09-29,Free State,0.0,26.4
2021-09-30,Free State,0.0,21.2
2021-10-01,Free State,0.0,23.6
2021-10-02,Free State,0.0,22.3
2021-10-03,Free State,0.0,24.1
2021-10-04,Free State,0.0,22.9
2021-10-05,Free State,0.0,21.1
2021-10-06,Free State,0.0,21.5
2021-10-07,Free State,0.0,21.7
2021-10-08,Free State,0.0,24.8
2021-10-09,Free State,0.0,24.6
2021-10-10,Free State,0.0,22.1
2021-10-11,Free State,0.0,24.3
2021-10-12,Free State,0.0,22.1
2021-10-13,Free State,0.9,21.8
2021-10-14,Free State,0.0,22.3
2021-10-15,Free State,0.0,22.5
2021-10-16,Free State,0.0,21.1
2021-10-17,Free State,0.0,21.9
2021-10-18,Free State,0.3,22.9
2021-10-19,Free State,0.9,21.9
2021-10-20,Free State,0.0,21.6
2021-10-21,Free State,0.0,22.2
2021-10-22,Free State,0.0,22.4
2021-10-23,Free State,0.0,21.2
2021-10-24,Free State,0.0,20.4
2021-10-25,Free State,0.0,21.3
2021-10-26,Free State,0.0,18.6
2021-10-27,Free State,1.2,20.5
2021-10-28,Free State,0.9,17.0
2021-10-29,Free State,0.0,18.1
2021-10-30,Free State,0.0,17.8
2021-10-31,Free State,0.0,22.0
2021-11-01,Free State,0.0,20.4
2021-11-02,Free State,0.0,18.4
2021-11-03,Free State,0.0,20.9
2021-11-04,Free State,0.0,21.5
2021-11-05,Free State,0.0,20.7
2021-11-06,Free State,0.0,19.6
2021-11-07,Free State,0.0,20.1
2021-11-08,Free State,2.6,21.0
2021-11-09,Free State,0.0,18.9
2021-11-10,Free State,0.0,19.5
2021-11-11,Free State,0.0,19.0
2021-11-12,Free State,0.0,16.9
2021-11-13,Free State,0.0,20.6
2021-11-14,Free State,4.1,22.2
2021-11-15,Free State,7.6,17.7
2021-11-16,Free State,0.0,20.4
2021-11-17,Free State,0.0,17.6
2021-11-18,Free State,0.0,18.9
2021-11-19,Free State,0.0,20.9
2021-11-20,Free State,0.0,17.8
2021-11-21,Free State,0.0,18.5
2021-11-22,Free State,0.0,15.7
2021-11-23,Free State,0.0,17.3
2021-11-24,Free State,0.0,15.4
2021-11-25,Free State,0.0,18.8
2021-11-26,Free State,3.8,19.3
2021-11-27,Free State,0.0,17.7
2021-11-28,Free State,0.0,18.4
2021-11-29,Free State,0.4,17.4
2021-11-30,Free State,5.7,18.9
2021-12-01,Free State,3.7,17.9
2021-12-02,Free State,8.7,14.7
2021-12-03,Free State,0.0,19.0
2021-12-04,Free State,0.0,16.9
2021-12-05,Free State,0.0,15.5
2021-12-06,Free State,0.7,16.7
2021-12-07,Free State,0.0,14.4
2021-12-08,Free State,0.0,15.4
2021-12-09,Free State,0.9,17.4
2021-12-10,Free State,0.0,17.5
2021-12-11,Free State,0.0,17.5
2021-12-12,Free State,0.0,17.0
2021-12-13,Free State,0.0,15.9
2021-12-14,Free State,7.3,16.8
2021-12-15,Free State,0.0,16.2
2021-12-16,Free State,0.0,14.3
2021-12-17,Free State,0.0,15.6
2021-12-18,Free State,0.0,18.0
2021-12-19,Free State,0.0,19.0
2021-12-20,Free State,8.2,17.6
2021-12-21,Free State,2.1,18.9
2021-12-22,Free State,0.0,16.6
2021-12-23,Free State,3.6,19.1
2021-12-24,Free State,0.0,19.5
2021-12-25,Free State,0.0,13.8
2021-12-26,Free State,0.0,16.7
2021-12-27,Free State,2.5,16.4
2021-12-28,Free State,0.0,15.6
2021-12-29,Free State,0.0,17.0
2021-12-30,Free State,0.0,16.3
2021-12-31,Free State,0.0,15.1
2022-01-01,Free State,10.1,16.1
2022-01-02,Free State,0.0,18.0
2022-01-03,Free State,0.0,16.4
2022-01-04,Free State,1.4,17.0
2022-01-05,Free State,1.1,15.7
2022-01-06,Free State,0.1,16.7
2022-01-07,Free State,0.0,14.2
2022-01-08,Free State,4.2,15.3
2022-01-09,Free State,0.0,15.9
2022-01-10,Free State,0.6,14.1
2022-01-11,Free State,3.0,14.8
2022-01-12,Free State,0.0,16.5
2022-01-13,Free State,3.5,16.2
2022-01-14,Free State,0.0,17.2
2022-01-15,Free State,16.4,15.1
2022-01-16,Free State,4.7,16.1
2022-01-17,Free State,0.0,15.0
2022-01-18,Free State,0.0,17.1
2022-01-19,Free State,0.0,17.8
2022-01-20,Free State,0.0,16.7
2022-01-21,Free State,0.0,17.6
2022-01-22,Free State,1.5,16.1
2022-01-23,Free State,8.8,17.3
2022-01-24,Free State,0.0,16.2
2022-01-25,Free State,0.0,14.6
2022-01-26,Free State,0.0,16.5
2022-01-27,Free State,2.5,14.6
2022-01-28,Free State,3.2,19.7
2022-01-29,Free State,0.0,15.7
2022-01-30,Free State,3.5,17.2
2022-01-31,Free State,0.0,16.2
2022-02-01,Free State,0.0,14.4
2022-02-02,Free State,1.7,13.4
2022-02-03,Free State,0.0,17.4
2022-02-04,Free State,0.0,18.7
2022-02-05,Free State,11.6,15.3
2022-02-06,Free State,0.0,13.9
2022-02-07,Free State,0.0,16.0
2022-02-08,Free State,0.0,15.1
2022-02-09,Free State,3.0,15.6
2022-02-10,Free State,0.0,17.5
2022-02-11,Free State,6.6,16.6
2022-02-12,Free State,0.6,15.4
2022-02-13,Free State,0.0,17.6
2022-02-14,Free State,3.8,17.8
2022-02-15,Free State,0.0,16.3
2022-02-16,Free State,0.0,17.1
2022-02-17,Free State,0.0,17.7
2022-02-18,Free State,0.0,17.6
2022-02-19,Free State,0.0,17.1
2022-02-20,Free State,0.0,19.3
2022-02-21,Free State,5.2,18.1
2022-02-22,Free State,3.8,16.6
2022-02-23,Free State,0.0,16.6
2022-02-24,Free State,0.0,16.5
2022-02-25,Free State,0.0,18.4
2022-02-26,Free State,0.0,16.6
2022-02-27,Free State,1.7,16.9
2022-02-28,Free State,0.0,19.2
2022-03-01,Free State,5.9,18.0
2022-03-02,Free State,0.0,19.6
2022-03-03,Free State,0.0,19.1
2022-03-04,Free State,0.0,16.2
2022-03-05,Free State,9.1,17.9
2022-03-06,Free State,3.3,19.6
2022-03-07,Free State,11.5,16.3
2022-03-08,Free State,0.0,18.9
2022-03-09,Free State,0.0,18.3
2022-03-10,Free State,1.2,15.8
2022-03-11,Free State,0.4,18.7
2022-03-12,Free State,0.0,17.3
2022-03-13,Free State,0.8,16.9
2022-03-14,Free State,0.0,18.8
2022-03-15,Free State,0.0,15.9
2022-03-16,Free State,0.0,17.9
2022-03-17,Free State,0.0,22.8
2022-03-18,Free State,0.0,20.1
2022-03-19,Free State,0.0,17.9
2022-03-20,Free State,0.0,21.4
2022-03-21,Free State,0.0,17.9
2022-03-22,Free State,0.0,18.6
2022-03-23,Free State,0.0,17.8
2022-03-24,Free State,0.0,20.0
2022-03-25,Free State,0.0,21.8
2022-03-26,Free State,3.4,18.4
2022-03-27,Free State,0.0,16.9
2022-03-28,Free State,0.0,21.7
2022-03-29,Free State,0.0,22.5
2022-03-30,Free State,0.0,17.3
2022-03-31,Free State,6.2,21.0
2022-04-01,Free State,0.0,20.8
2022-04-02,Free State,1.4,19.4
2022-04-03,Free State,0.0,18.6
2022-04-04,Free State,0.0,22.2
2022-04-05,Free State,1.4,21.1
2022-04-06,Free State,3.7,21.3
2022-04-07,Free State,0.0,20.1
2022-04-08,Free State,0.0,19.9
2022-04-09,Free State,0.0,17.6
2022-04-10,Free State,0.0,21.0
2022-04-11,Free State,0.0,23.6
2022-04-12,Free State,0.0,20.2
2022-04-13,Free State,0.0,19.4
2022-04-14,Free State,0.0,22.4
2022-04-15,Free State,0.0,22.8
2022-04-16,Free State,0.3,21.1
2022-04-17,Free State,0.0,21.6
2022-04-18,Free State,5.9,22.6
2022-04-19,Free State,0.0,22.1
2022-04-20,Free State,0.0,23.9
2022-04-21,Free State,0.0,26.1
2022-04-22,Free State,0.7,20.0
2022-04-23,Free State,0.0,24.5
2022-04-24,Free State,0.0,23.0
2022-04-25,Free State,0.0,25.0
2022-04-26,Free State,0.0,24.1
2022-04-27,Free State,0.0,23.2
2022-04-28,Free State,0.0,24.3
2022-04-29,Free State,0.0,22.7
2022-04-30,Free State,0.0,22.2
2022-05-01,Free State,0.0,24.7
2022-05-02,Free State,1.2,22.3
2022-05-03,Free State,0.0,24.7
2022-05-04,Free State,0.0,23.9
2022-05-05,Free State,0.0,20.4
2022-05-06,Free State,0.0,23.1
2022-05-07,Free State,0.0,24.6
2022-05-08,Free State,0.0,23.6
2022-05-09,Free State,0.0,20.5
2022-05-10,Free State,0.0,26.4
2022-05-11,Free State,0.0,24.7
2022-05-12,Free State,0.0,25.2
2022-05-13,Free State,0.6,24.0
2022-05-14,Free State,0.0,25.6
2022-05-15,Free State,0.0,27.6
2022-05-16,Free State,0.0,23.8
2022-05-17,Free State,0.0,27.5
2022-05-18,Free State,0.0,25.7
2022-05-19,Free State,0.0,23.9
2022-05-20,Free State,0.0,28.6
2022-05-21,Free State,0.0,26.0
2022-05-22,Free State,0.0,26.5
2022-05-23,Free State,0.0,25.1
2022-05-24,Free State,0.0,24.4
2022-05-25,Free State,0.0,26.0
2022-05-26,Free State,0.0,28.2
2022-05-27,Free State,0.0,25.4
2022-05-28,Free State,0.0,25.9
2022-05-29,Free State,0.0,28.2
2022-05-30,Free State,0.0,25.7
2022-05-31,Free State,0.0,26.9
2022-06-01,Free State,0.0,27.6
2022-06-02,Free State,0.0,26.0
2022-06-03,Free State,0.0,26.9
2022-06-04,Free State,0.0,27.5
2022-06-05,Free State,0.0,25.9
2022-06-06,Free State,0.0,27.8
2022-06-07,Free State,0.0,25.8
2022-06-08,Free State,0.0,25.7
2022-06-09,Free State,0.0,24.5
2022-06-10,Free State,0.0,26.1
2022-06-11,Free State,0.0,25.7
2022-06-12,Free State,0.0,26.4
2022-06-13,Free State,0.0,27.9
2022-06-14,Free State,0.0,24.5
2022-06-15,Free State,0.0,24.2
2022-06-16,Free State,0.0,26.1
2022-06-17,Free State,0.0,27.9
2022-06-18,Free State,0.0,27.7
2022-06-19,Free State,0.0,26.2
2022-06-20,Free State,0.0,29.1
2022-06-21,Free State,0.0,26.4
2022-06-22,Free State,0.0,28.2
2022-06-23,Free State,0.0,27.0
2022-06-24,Free State,0.0,26.3
2022-06-25,Free State,0.0,26.7
2022-06-26,Free State,0.0,28.7
2022-06-27,Free State,0.0,28.2
2022-06-28,Free State,0.0,29.2
2022-06-29,Free State,0.0,28.3
2022-06-30,Free State,0.0,25.3
2022-07-01,Free State,0.0,31.0
2022-07-02,Free State,0.0,28.4
2022-07-03,Free State,0.0,28.6
2022-07-04,Free State,0.0,27.3
2022-07-05,Free State,0.0,29.6
2022-07-06,Free State,0.0,26.3
2022-07-07,Free State,0.0,28.8
2022-07-08,Free State,0.0,24.8
2022-07-09,Free State,0.0,29.0
2022-07-10,Free State,0.0,26.3
2022-07-11,Free State,0.0,28.4
2022-07-12,Free State,0.0,30.0
2022-07-13,Free State,0.0,29.2
2022-07-14,Free State,0.0,29.8
2022-07-15,Free State,0.0,29.7
2022-07-16,Free State,0.0,27.2
2022-07-17,Free State,0.0,28.9
2022-07-18,Free State,0.0,25.4
2022-07-19,Free State,0.0,27.0
2022-07-20,Free State,0.0,30.1
2022-07-21,Free State,0.0,27.4
2022-07-22,Free State,0.0,25.2
2022-07-23,Free State,0.0,31.0
2022-07-24,Free State,0.0,28.8
2022-07-25,Free State,0.0,29.1
2022-07-26,Free State,0.0,26.4
2022-07-27,Free State,0.0,28.3
2022-07-28,Free State,0.0,28.3
2022-07-29,Free State,0.0,26.6
2022-07-30,Free State,0.0,27.6
2022-07-31,Free State,0.0,25.6
2022-08-01,Free State,0.0,27.3
2022-08-02,Free State,0.0,29.2
2022-08-03,Free State,0.0,26.6
2022-08-04,Free State,0.0,30.6
2022-08-05,Free State,0.0,25.5
2022-08-06,Free State,0.0,27.2
2022-08-07,Free State,0.0,26.6
2022-08-08,Free State,0.0,27.3
2022-08-09,Free State,0.0,29.6
2022-08-10,Free State,0.0,26.0
2022-08-11,Free State,0.0,26.8
2022-08-12,Free State,0.0,28.4
2022-08-13,Free State,0.0,27.5
2022-08-14,Free State,0.0,27.6
2022-08-15,Free State,0.0,25.8
2022-08-16,Free State,0.0,27.1
2022-08-17,Free State,0.0,28.8
2022-08-18,Free State,0.0,24.7
2022-08-19,Free State,0.0,26.0
2022-08-20,Free State,0.0,24.2
2022-08-21,Free State,0.0,27.7
2022-08-22,Free State,0.0,28.7
2022-08-23,Free State,0.0,26.5
2022-08-24,Free State,0.0,25.2
2022-08-25,Free State,0.0,25.2
2022-08-26,Free State,0.0,26.2
2022-08-27,Free State,0.0,26.1
2022-08-28,Free State,0.0,27.8
2022-08-29,Free State,0.0,25.4
2022-08-30,Free State,0.0,27.0
2022-08-31,Free State,0.0,25.8
2022-09-01,Free State,0.0,25.1
2022-09-02,Free State,0.0,25.6
2022-09-03,Free State,0.0,26.5
2022-09-04,Free State,0.0,27.3
2022-09-05,Free State,0.0,25.5
2022-09-06,Free State,0.0,24.0
2022-09-07,Free State,0.0,27.2
2022-09-08,Free State,0.0,24.3
2022-09-09,Free State,0.0,25.9
2022-09-10,Free State,0.0,25.4
2022-09-11,Free State,0.0,25.1
2022-09-12,Free State,0.0,24.6
2022-09-13,Free State,0.0,26.1
2022-09-14,Free State,0.0,19.7
2022-09-15,Free State,0.0,26.7
2022-09-16,Free State,0.0,23.6
2022-09-17,Free State,0.0,25.5
2022-09-18,Free State,0.0,25.3
2022-09-19,Free State,0.0,26.6
2022-09-20,Free State,0.0,24.9
2022-09-21,Free State,0.0,23.2
2022-09-22,Free State,0.0,22.0
2022-09-23,Free State,0.0,23.8
2022-09-24,Free State,0.0,21.3
2022-09-25,Free State,0.0,23.2
2022-09-26,Free State,0.0,23.6
2022-09-27,Free State,0.0,22.9
2022-09-28,Free State,0.0,23.9
2022-09-29,Free State,0.0,23.4
2022-09-30,Free State,0.0,23.1
2022-10-01,Free State,0.0,19.9
2022-10-02,Free State,0.0,21.5
2022-10-03,Free State,1.1,24.3
2022-10-04,Free State,0.0,24.4
2022-10-05,Free State,0.0,20.3
2022-10-06,Free State,0.0,21.8
2022-10-07,Free State,0.0,24.5
2022-10-08,Free State,0.0,21.7
2022-10-09,Free State,0.0,22.5
2022-10-10,Free State,0.0,24.8
2022-10-11,Free State,0.0,21.9
2022-10-12,Free State,0.0,21.6
2022-10-13,Free State,0.0,22.0
2022-10-14,Free State,0.0,25.0
2022-10-15,Free State,0.0,22.7
2022-10-16,Free State,0.0,22.0
2022-10-17,Free State,0.0,21.1
2022-10-18,Free State,0.0,22.6
2022-10-19,Free State,0.0,22.7
2022-10-20,Free State,0.0,20.0
2022-10-21,Free State,0.0,22.5
2022-10-22,Free State,0.0,21.1
2022-10-23,Free State,0.0,21.3
2022-10-24,Free State,0.0,19.8
2022-10-25,Free State,0.0,20.4
2022-10-26,Free State,0.0,19.4
2022-10-27,Free State,1.2,19.2
2022-10-28,Free State,0.0,21.3
2022-10-29,Free State,0.0,20.1
2022-10-30,Free State,0.0,18.6
2022-10-31,Free State,0.0,23.7
2022-11-01,Free State,0.0,18.7
2022-11-02,Free State,0.0,21.9
2022-11-03,Free State,0.0,17.9
2022-11-04,Free State,0.0,20.7
2022-11-05,Free State,0.0,19.6
2022-11-06,Free State,0.0,18.9
2022-11-07,Free State,0.0,20.1
2022-11-08,Free State,0.9,19.8
2022-11-09,Free State,0.0,18.3
2022-11-10,Free State,0.0,18.2
2022-11-11,Free State,0.0,17.0
2022-11-12,Free State,0.0,19.7
2022-11-13,Free State,0.0,17.3
2022-11-14,Free State,3.5,19.1
2022-11-15,Free State,0.0,19.9
2022-11-16,Free State,0.0,19.2
2022-11-17,Free State,0.0,17.8
2022-11-18,Free State,0.0,20.1
2022-11-19,Free State,0.0,18.1
2022-11-20,Free State,0.0,16.6
2022-11-21,Free State,3.6,18.1
2022-11-22,Free State,0.0,19.3
2022-11-23,Free State,0.0,17.3
2022-11-24,Free State,0.0,19.6
2022-11-25,Free State,6.0,17.0
2022-11-26,Free State,0.0,17.1
2022-11-27,Free State,0.0,16.4
2022-11-28,Free State,0.4,19.0
2022-11-29,Free State,0.0,17.8
2022-11-30,Free State,0.2,16.3
2022-12-01,Free State,0.0,17.1
2022-12-02,Free State,0.0,13.0
2022-12-03,Free State,7.5,18.7
2022-12-04,Free State,0.0,17.2
2022-12-05,Free State,6.3,13.8
2022-12-06,Free State,12.2,15.2
2022-12-07,Free State,0.0,16.7
2022-12-08,Free State,10.7,15.3
2022-12-09,Free State,0.0,18.4
2022-12-10,Free State,4.8,17.7
2022-12-11,Free State,0.0,17.6
2022-12-12,Free State,0.0,13.1
2022-12-13,Free State,0.0,16.2
2022-12-14,Free State,0.0,15.8
2022-12-15,Free State,0.0,15.4
2022-12-16,Free State,0.4,16.2
2022-12-17,Free State,0.0,15.0
2022-12-18,Free State,0.0,17.0
2022-12-19,Free State,0.0,17.8
2022-12-20,Free State,7.2,17.6
2022-12-21,Free State,0.0,16.3
2022-12-22,Free State,0.0,19.5
2022-12-23,Free State,1.1,18.2
2022-12-24,Free State,12.4,16.3
2022-12-25,Free State,0.0,15.7
2022-12-26,Free State,0.0,18.4
2022-12-27,Free State,0.0,17.8
2022-12-28,Free State,24.7,14.2
2022-12-29,Free State,0.0,17.9
2022-12-30,Free State,4.8,16.0
2022-12-31,Free State,0.0,14.9
2023-01-01,Free State,8.0,13.2
2023-01-02,Free State,0.0,15.7
2023-01-03,Free State,0.0,16.1
2023-01-04,Free State,0.0,18.5
