province,crop_type,soil_type,season_rainfall_mm,avg_temp_c,soil_moisture_pct,irrigation_mm,fertilizer_kg_ha,pest_pressure_index,farm_size_ha,yield_tons_per_ha
Mpumalanga,Sunflower,Sandy,372.5,23.7,16.9,125.5,170.1,2.68,100.2,2.15
Mpumalanga,Wheat,Loam,603.2,15.4,30.3,216.8,238.0,1.22,3.6,5.09
Mpumalanga,Soybean,Loam,707.2,19.8,30.2,58.3,153.3,5.13,31.3,3.64
Limpopo,Maize,Sandy,868.3,25.6,44.9,221.4,88.8,1.51,16.9,7.92
North West,Maize,Loam,250.8,17.4,20.3,109.7,272.6,1.13,4.4,5.97
Mpumalanga,Maize,Sandy Loam,647.1,22.4,41.7,70.8,66.2,5.36,58.9,6.35
North West,Maize,Sandy,468.2,17.6,23.4,218.4,186.6,1.27,17.1,5.92
Mpumalanga,Maize,Loam,684.9,23.1,40.5,53.7,228.8,3.04,10.4,7.35
Limpopo,Soybean,Sandy,721.7,25.0,32.7,93.9,142.4,7.04,79.6,2.89
KwaZulu-Natal,Soybean,Sandy,598.6,21.5,35.6,54.5,185.8,4.02,39.2,2.43
Free State,Sunflower,Sandy,598.7,27.9,35.1,124.4,233.3,2.77,4.0,2.0
Limpopo,Maize,Loam,723.2,20.3,46.2,0.0,140.1,4.51,15.8,6.95
Mpumalanga,Soybean,Sandy Loam,647.1,23.9,41.0,76.8,230.4,0.68,40.5,3.94
Limpopo,Soybean,Sandy,583.6,22.0,28.0,122.0,185.9,3.38,21.9,3.72
Free State,Sunflower,Sandy Loam,418.7,21.2,20.4,23.3,120.8,5.41,15.1,0.93
Free State,Maize,Sandy,809.2,16.8,42.1,254.8,141.2,0.81,37.6,7.4
Mpumalanga,Soybean,Clay,594.3,18.2,32.0,142.1,200.5,4.36,50.0,3.16
Free State,Maize,Clay,597.9,22.7,35.6,68.5,275.8,4.92,5.8,5.93
Free State,Maize,Sandy Loam,319.9,26.5,13.7,244.1,199.9,2.3,52.3,6.14
Free State,Maize,Sandy Loam,158.7,19.7,14.7,136.2,215.6,1.8,32.4,5.4
Free State,Wheat,Sandy,477.0,26.7,27.7,118.8,238.9,3.06,10.0,3.31
KwaZulu-Natal,Sunflower,Sandy Loam,622.8,14.8,28.5,248.9,320.5,1.68,18.1,4.52
Mpumalanga,Maize,Loam,642.4,20.1,28.5,124.1,103.2,1.25,10.0,7.37
KwaZulu-Natal,Maize,Loam,627.2,26.2,31.1,61.1,231.1,3.35,11.5,6.64
Mpumalanga,Maize,Loam,636.5,23.1,40.3,109.8,364.7,1.53,1.0,8.09
Free State,Maize,Clay,561.3,18.9,24.6,0.0,137.8,0.78,20.4,5.53
Free State,Soybean,Clay,321.5,18.0,21.7,119.1,193.6,0.69,47.6,2.05
Free State,Sunflower,Clay,174.6,24.4,9.1,139.0,203.4,2.28,20.3,1.2
Mpumalanga,Sunflower,Sandy,450.6,24.0,15.6,0.0,134.2,3.85,4.2,1.59
North West,Maize,Clay,290.6,26.3,6.1,8.0,304.0,1.28,2.8,4.65
Limpopo,Wheat,Sandy Loam,575.5,22.3,39.3,110.4,209.3,2.84,42.1,4.14
KwaZulu-Natal,Wheat,Loam,508.9,24.1,31.9,261.8,282.6,1.38,21.5,6.04
Free State,Maize,Clay,674.4,14.3,40.6,1.7,194.1,3.42,56.1,6.72
North West,Maize,Loam,674.2,25.5,38.7,172.7,150.2,1.36,11.9,8.06
Limpopo,Soybean,Sandy Loam,743.0,20.4,37.8,197.1,154.4,3.27,10.6,5.07
KwaZulu-Natal,Wheat,Loam,373.3,19.6,17.3,181.0,79.2,2.79,22.5,3.34
North West,Soybean,Sandy Loam,622.2,22.8,36.3,270.6,132.6,4.0,15.0,3.95
Limpopo,Maize,Loam,930.8,23.8,50.1,205.7,144.7,2.22,63.1,8.77
Mpumalanga,Sunflower,Loam,676.1,21.9,37.3,104.7,153.4,1.98,6.2,2.89
Mpumalanga,Maize,Sandy,509.7,18.1,28.1,121.1,334.4,2.33,1.0,5.93
KwaZulu-Natal,Wheat,Sandy,511.8,27.3,33.4,219.7,20.9,0.26,11.7,3.08
Mpumalanga,Sunflower,Loam,762.2,22.4,46.7,0.0,164.6,1.31,21.1,3.26
KwaZulu-Natal,Maize,Sandy Loam,497.4,21.2,22.4,138.8,228.8,3.68,56.7,6.59
Mpumalanga,Sunflower,Sandy,598.9,17.6,31.7,78.2,235.4,2.67,24.5,1.92
Free State,Wheat,Sandy,581.7,21.7,33.7,117.0,147.3,4.19,7.8,3.76
Mpumalanga,Maize,Sandy,456.6,20.5,25.4,0.0,102.7,2.27,1.0,4.47
Limpopo,Sunflower,Sandy,686.7,18.8,30.8,340.9,222.7,1.26,10.9,3.53
KwaZulu-Natal,Maize,Clay,572.1,21.2,30.6,179.8,229.5,3.89,16.5,6.3
Mpumalanga,Soybean,Clay,641.1,16.7,31.7,0.0,179.7,3.71,14.3,3.77
KwaZulu-Natal,Sunflower,Loam,644.9,25.4,27.3,61.8,217.3,3.08,51.6,2.96
Limpopo,Maize,Clay,675.7,26.8,42.0,131.6,261.3,2.77,3.2,7.88
Free State,Sunflower,Sandy Loam,520.6,18.6,32.4,114.6,219.4,0.91,20.6,3.37
Limpopo,Wheat,Clay,393.6,26.5,22.1,153.0,164.3,0.24,23.9,2.95
Mpumalanga,Sunflower,Clay,562.3,25.7,37.7,303.9,149.0,3.29,6.8,2.24
KwaZulu-Natal,Maize,Loam,667.9,20.4,44.5,156.8,220.0,2.11,78.3,7.76
Limpopo,Maize,Sandy,525.1,19.1,25.3,213.4,318.6,5.26,5.2,5.64
KwaZulu-Natal,Soybean,Loam,627.3,26.2,,170.5,185.8,3.62,1.0,3.92
North West,Wheat,Sandy,458.1,20.6,26.7,172.7,197.2,7.05,32.1,2.37
Mpumalanga,Wheat,Loam,686.1,22.1,41.5,208.3,291.9,1.75,4.3,5.83
Free State,Maize,Clay,597.7,19.8,31.8,116.7,191.7,2.86,20.3,6.21
Limpopo,Maize,Sandy Loam,578.7,22.2,35.3,171.6,98.4,4.99,82.4,6.1
North West,Soybean,Clay,576.3,23.4,29.4,91.0,168.8,1.74,51.3,2.79
Limpopo,Soybean,Sandy Loam,715.6,28.0,38.2,84.1,142.3,3.99,2.7,3.19
Free State,Sunflower,Clay,647.3,25.5,41.9,102.2,247.3,0.49,8.0,2.86
KwaZulu-Natal,Sunflower,Sandy,724.5,18.7,42.7,152.2,133.2,1.63,5.7,2.27
Limpopo,Maize,Sandy Loam,635.5,23.6,41.3,135.7,218.6,4.37,28.9,6.98
North West,Maize,Loam,463.9,20.4,31.1,3.7,100.4,3.15,91.9,6.2
Free State,Maize,Sandy Loam,741.2,18.6,40.4,27.3,177.1,3.57,9.9,6.88
Limpopo,Wheat,Sandy,555.6,20.4,33.5,41.7,244.5,2.65,22.6,4.04
Free State,Wheat,Sandy Loam,778.6,23.4,39.6,207.1,220.9,1.81,25.8,6.17
KwaZulu-Natal,Wheat,Loam,579.7,28.1,43.5,86.1,244.5,3.75,14.2,4.56
KwaZulu-Natal,Sunflower,Sandy Loam,250.4,24.1,12.4,0.0,118.6,2.33,10.6,0.64
Limpopo,Wheat,Sandy Loam,850.3,27.3,49.4,210.7,278.4,1.56,6.7,5.84
Mpumalanga,Soybean,Loam,758.2,21.9,,90.4,250.4,7.0,4.5,4.49
Mpumalanga,Sunflower,Sandy,537.0,22.1,21.2,243.7,174.4,1.75,10.0,3.39
Free State,Maize,Sandy,461.5,24.3,21.0,161.7,96.5,2.49,41.0,5.12
North West,Sunflower,Sandy,585.8,20.9,32.7,81.8,152.9,1.8,22.0,1.97
Mpumalanga,Soybean,Clay,792.4,25.2,48.2,0.0,200.8,5.32,9.2,3.4
Mpumalanga,Maize,Sandy,646.6,19.5,39.3,22.5,209.0,2.07,44.4,5.99
KwaZulu-Natal,Soybean,Sandy,626.1,25.9,37.3,28.6,251.2,5.88,186.0,3.29
Free State,Maize,Sandy,512.1,19.9,34.1,175.5,160.4,1.66,9.5,5.32
Free State,Maize,Clay,692.2,26.7,27.7,205.7,275.2,4.25,1.0,6.75
Mpumalanga,Wheat,Loam,596.8,33.0,24.4,133.7,182.0,0.19,31.4,4.43
KwaZulu-Natal,Sunflower,Sandy Loam,563.0,24.7,31.2,115.0,196.9,1.48,8.4,3.22
KwaZulu-Natal,Soybean,Sandy Loam,457.4,22.9,26.5,114.7,151.2,1.6,40.2,2.87
Free State,Wheat,Sandy,415.7,26.9,19.8,125.1,175.5,2.82,53.9,2.61
Mpumalanga,Soybean,Loam,450.6,24.6,26.2,240.8,164.8,1.83,27.8,3.91
Mpumalanga,Maize,Clay,652.2,17.8,38.7,153.1,198.6,2.12,23.4,6.25
Limpopo,Maize,Sandy,590.2,23.1,34.3,58.2,179.9,1.57,118.5,5.8
Limpopo,Wheat,Sandy Loam,794.3,20.0,40.1,22.1,119.1,2.98,6.7,4.88
Mpumalanga,Sunflower,Loam,566.3,21.1,23.4,13.6,87.7,2.17,2.3,2.29
Free State,Sunflower,Sandy Loam,606.7,16.6,21.4,80.1,70.7,1.01,7.4,2.61
Limpopo,Soybean,Sandy Loam,600.3,24.5,28.8,13.5,237.4,0.34,22.9,4.2
KwaZulu-Natal,Sunflower,Loam,554.7,15.0,17.7,122.3,253.1,4.62,32.0,2.78
Free State,Sunflower,Sandy,482.5,24.5,22.7,330.3,187.2,5.43,44.2,2.52
Free State,Maize,Sandy,532.7,21.8,21.1,122.9,116.9,3.53,8.1,5.01
KwaZulu-Natal,Sunflower,Clay,515.4,17.3,27.7,1.6,196.7,2.16,4.7,1.87
North West,Maize,Sandy Loam,465.9,17.5,21.8,63.9,217.6,4.01,39.3,6.49
KwaZulu-Natal,Sunflower,Clay,391.1,26.2,25.7,181.0,161.0,2.36,7.5,1.93
Limpopo,Maize,Sandy,608.8,21.9,33.8,42.2,214.8,4.14,4.1,5.9
KwaZulu-Natal,Maize,Sandy,420.6,18.9,24.4,136.6,43.4,5.16,46.0,4.68
Mpumalanga,Soybean,Clay,459.1,16.7,24.4,198.1,163.5,2.05,34.3,3.45
KwaZulu-Natal,Soybean,Sandy,636.3,17.3,40.7,67.4,121.7,0.84,27.0,2.91
North West,Maize,Clay,681.9,19.6,36.1,110.6,222.6,1.86,3.3,6.6
Limpopo,Maize,Sandy Loam,539.9,24.6,25.2,148.7,215.6,3.25,14.1,7.36
North West,Wheat,Sandy Loam,384.5,21.2,,185.3,163.4,4.09,62.8,3.71
Limpopo,Wheat,Sandy Loam,428.0,23.3,29.0,56.0,275.9,4.55,28.9,3.18
North West,Maize,Loam,544.0,30.1,20.2,126.3,244.5,4.2,35.8,6.6
Free State,Soybean,Sandy,366.4,20.8,21.2,104.2,216.6,0.54,23.9,2.15
Free State,Soybean,Sandy Loam,773.0,16.9,39.9,54.4,113.6,2.9,22.5,3.51
Limpopo,Wheat,Loam,285.9,20.6,8.4,0.0,155.3,1.65,6.4,2.96
Mpumalanga,Wheat,Loam,566.6,20.9,36.4,6.3,183.9,3.71,5.9,4.08
Limpopo,Soybean,Loam,746.0,19.5,40.3,110.3,68.0,4.24,38.5,4.61
KwaZulu-Natal,Sunflower,Loam,595.6,17.2,40.9,254.4,223.1,3.72,15.5,3.6
North West,Maize,Sandy,374.5,12.0,29.3,252.9,178.3,1.49,34.8,4.62
Free State,Soybean,Sandy,403.5,18.9,20.9,52.8,201.3,0.69,16.7,2.34
KwaZulu-Natal,Soybean,Loam,186.4,25.1,8.8,125.4,224.2,3.1,32.8,2.04
Mpumalanga,Maize,Loam,616.9,19.5,28.3,144.6,146.6,2.57,28.8,7.97
Free State,Maize,Sandy Loam,505.7,22.5,36.6,113.4,202.8,1.07,13.3,6.87
Limpopo,Sunflower,Loam,691.7,19.6,33.7,0.0,161.9,1.36,1.0,3.08
Limpopo,Sunflower,Loam,475.4,19.6,29.1,149.4,185.2,4.81,12.4,2.21
KwaZulu-Natal,Wheat,Clay,705.8,23.8,35.7,0.0,258.6,1.45,12.6,4.9
Mpumalanga,Wheat,Sandy Loam,697.4,24.3,35.9,98.8,230.0,3.26,56.1,4.63
North West,Soybean,Clay,700.5,19.8,35.5,35.4,200.4,1.95,1.0,3.55
North West,Wheat,Loam,579.2,20.8,30.1,133.5,200.3,4.46,15.4,3.78
Limpopo,Soybean,Loam,570.1,22.4,31.9,72.1,82.6,5.46,14.3,3.18
Free State,Maize,Sandy Loam,610.6,21.9,34.9,25.7,125.8,4.38,8.2,6.35
KwaZulu-Natal,Soybean,Loam,259.6,22.4,7.6,177.9,241.7,2.86,20.5,2.76
KwaZulu-Natal,Wheat,Sandy Loam,353.0,20.0,17.7,224.6,122.9,1.81,84.7,3.41
Free State,Sunflower,Loam,579.4,23.1,29.0,172.8,233.3,1.56,6.9,4.07
Free State,Soybean,Sandy Loam,670.0,16.3,31.2,196.0,116.8,3.97,21.9,3.62
Mpumalanga,Maize,Clay,366.1,24.8,12.4,134.5,176.2,5.25,15.6,4.78
Free State,Sunflower,Loam,497.7,20.8,30.3,166.4,175.3,4.36,88.3,2.41
North West,Wheat,Sandy Loam,771.9,24.1,42.6,111.6,317.5,2.49,8.1,5.54
Free State,Maize,Sandy,894.5,20.2,41.5,318.8,29.0,1.25,15.5,7.59
Limpopo,Maize,Sandy Loam,268.7,22.4,18.0,137.1,170.4,1.28,17.0,4.41
KwaZulu-Natal,Wheat,Clay,663.7,21.7,30.6,166.3,157.8,2.14,31.7,3.96
North West,Wheat,Sandy,571.7,19.8,32.9,53.4,137.5,0.25,1.8,3.14
Mpumalanga,Sunflower,Clay,471.1,27.3,,138.6,259.8,3.87,33.8,2.24
Limpopo,Wheat,Clay,378.4,22.4,19.6,109.7,178.0,0.95,26.4,3.54
North West,Maize,Loam,505.6,25.8,23.6,141.0,184.9,4.79,35.6,5.91
KwaZulu-Natal,Soybean,Sandy Loam,745.7,16.2,46.3,32.7,242.0,2.45,25.9,4.23
North West,Sunflower,Clay,741.0,20.3,41.5,128.6,128.1,2.7,4.6,3.57
Mpumalanga,Maize,Loam,550.8,20.3,32.1,32.1,173.9,1.97,57.6,7.44
Limpopo,Maize,Loam,478.8,14.0,26.0,51.0,187.5,2.42,4.6,6.69
Limpopo,Sunflower,Clay,279.8,20.1,12.2,106.5,132.7,1.63,21.7,1.73
Limpopo,Sunflower,Sandy,519.2,30.2,32.8,276.9,197.5,4.37,19.6,1.99
KwaZulu-Natal,Sunflower,Sandy Loam,799.7,27.5,33.1,65.7,144.3,2.81,74.5,2.93
Mpumalanga,Soybean,Sandy Loam,718.9,21.8,45.5,47.5,73.6,1.33,21.5,2.92
KwaZulu-Natal,Maize,Loam,220.1,16.0,20.5,111.5,271.1,0.51,7.4,6.12
Mpumalanga,Soybean,Loam,420.6,25.9,19.1,152.6,236.9,1.91,5.9,3.4
KwaZulu-Natal,Maize,Sandy Loam,678.5,23.8,39.1,72.5,222.9,2.34,23.8,7.3
North West,Wheat,Clay,417.7,21.3,23.3,109.2,147.1,1.91,17.4,3.43
North West,Wheat,Loam,690.6,25.4,39.8,92.9,254.1,0.78,1.0,5.85
Free State,Maize,Loam,592.0,22.2,39.1,15.3,196.6,2.37,31.3,6.93
North West,Maize,Sandy Loam,628.6,15.9,42.1,164.5,138.3,4.35,38.2,6.66
Mpumalanga,Soybean,Loam,500.8,22.5,23.0,67.4,229.5,1.47,38.9,3.54
KwaZulu-Natal,Maize,Clay,516.1,24.6,38.1,245.5,176.1,0.54,35.8,6.85
Free State,Soybean,Clay,886.2,20.6,48.2,114.2,34.5,2.77,49.0,4.35
Limpopo,Wheat,Sandy,599.0,23.1,27.0,203.1,217.3,1.59,3.7,4.76
North West,Wheat,Clay,711.3,17.2,35.0,135.4,272.9,2.49,18.1,4.83
North West,Sunflower,Sandy,387.6,24.8,21.6,172.7,190.6,1.55,12.7,2.27
Free State,Soybean,Clay,657.3,24.5,36.0,173.8,206.3,2.34,10.7,3.76
North West,Soybean,Sandy Loam,698.3,17.3,41.5,0.0,220.2,1.18,16.1,3.56
Mpumalanga,Soybean,Loam,869.0,23.5,57.3,66.3,230.4,2.49,9.5,5.34
KwaZulu-Natal,Sunflower,Sandy,624.7,26.0,29.0,55.1,274.8,0.92,30.8,2.27
Mpumalanga,Wheat,Sandy,549.3,24.7,26.4,64.1,78.7,3.95,35.8,2.89
Mpumalanga,Wheat,Sandy,893.3,16.6,54.3,144.1,176.5,3.24,26.9,4.91
Free State,Soybean,Sandy Loam,310.3,23.6,10.1,135.2,301.5,1.18,71.9,2.92
KwaZulu-Natal,Sunflower,Sandy,707.5,20.9,43.8,100.7,136.3,0.53,38.4,3.15
North West,Soybean,Sandy Loam,644.3,17.6,29.7,157.6,138.3,3.71,27.1,3.71
Mpumalanga,Soybean,Sandy,548.9,24.2,39.9,61.5,20.0,2.68,24.3,1.91
Limpopo,Soybean,Sandy,254.5,25.1,17.5,121.1,107.3,1.03,75.1,1.48
Limpopo,Soybean,Clay,260.0,27.9,11.8,102.6,235.6,1.09,43.3,2.48
North West,Sunflower,Loam,611.4,17.4,28.2,90.7,147.0,6.14,45.2,2.45
Limpopo,Soybean,Loam,452.1,26.2,31.2,71.6,183.8,2.33,19.0,3.44
Limpopo,Maize,Sandy Loam,448.6,22.1,19.0,174.3,114.8,1.02,9.8,6.47
Free State,Soybean,Clay,457.5,20.7,22.6,140.3,97.4,5.97,1.0,1.52
Mpumalanga,Sunflower,Loam,635.3,22.4,38.6,197.6,84.7,1.98,67.5,4.11
Mpumalanga,Soybean,Clay,501.9,28.3,29.9,173.3,193.8,3.36,10.2,3.1
North West,Maize,Clay,596.8,20.4,41.9,0.0,137.4,5.96,1.0,5.37
KwaZulu-Natal,Soybean,Clay,541.0,23.6,24.5,135.5,226.4,4.14,49.6,3.01
Limpopo,Soybean,Sandy Loam,613.1,20.9,38.5,0.9,214.8,4.56,68.4,3.33
Mpumalanga,Soybean,Clay,494.6,22.5,29.0,37.7,73.4,0.48,1.8,2.27
KwaZulu-Natal,Maize,Loam,513.1,19.9,29.0,79.8,149.4,2.57,38.5,6.8
Free State,Maize,Sandy Loam,524.8,22.1,27.5,46.1,134.5,2.67,12.7,5.7
Free State,Sunflower,Sandy Loam,450.6,24.8,20.5,154.9,306.7,0.79,14.1,3.05
KwaZulu-Natal,Sunflower,Loam,830.6,26.2,37.4,194.1,240.8,4.93,2.8,4.05
KwaZulu-Natal,Soybean,Loam,601.1,16.9,33.5,79.9,265.8,3.3,6.2,4.39
Free State,Wheat,Loam,768.9,19.1,43.7,143.8,250.3,2.16,30.2,5.2
Limpopo,Soybean,Clay,594.1,21.2,29.0,46.7,133.0,0.7,27.9,3.15
Mpumalanga,Wheat,Sandy Loam,665.2,20.8,24.2,193.3,172.0,1.35,36.8,4.44
KwaZulu-Natal,Maize,Clay,499.1,19.2,28.7,177.7,97.1,1.23,30.6,5.15
North West,Sunflower,Sandy,244.7,20.6,20.8,120.0,263.8,0.68,15.8,2.29
Mpumalanga,Maize,Sandy,399.0,27.2,25.8,163.7,185.1,4.45,14.6,3.87
Limpopo,Sunflower,Loam,603.0,23.7,35.6,99.6,212.8,1.89,70.8,3.53
KwaZulu-Natal,Sunflower,Loam,229.0,27.1,10.9,184.2,186.4,0.27,15.4,2.84
North West,Sunflower,Sandy Loam,454.2,22.4,23.4,154.0,284.7,1.45,23.4,2.55
North West,Soybean,Sandy Loam,465.3,21.9,28.1,149.3,193.3,0.68,9.9,4.27
Limpopo,Soybean,Clay,757.7,22.9,39.6,56.8,125.0,3.67,56.5,3.65
Limpopo,Maize,Sandy,332.7,25.6,13.6,256.8,199.2,1.7,32.9,5.21
Limpopo,Maize,Loam,673.1,21.8,42.2,69.9,253.4,0.84,15.7,8.06
Mpumalanga,Sunflower,Sandy Loam,445.3,21.0,26.8,123.5,236.4,3.03,40.7,1.87
KwaZulu-Natal,Sunflower,Loam,643.0,24.5,30.6,236.6,269.4,1.76,11.9,4.04
Free State,Soybean,Clay,595.8,24.1,28.8,126.6,220.1,1.91,40.6,3.31
Limpopo,Sunflower,Sandy Loam,558.6,19.2,24.3,224.6,270.4,1.12,14.2,3.72
Limpopo,Wheat,Loam,611.8,21.7,28.4,194.7,107.0,2.14,13.8,4.69
Free State,Wheat,Loam,685.3,21.4,40.2,115.1,115.1,7.05,34.5,4.24
North West,Maize,Loam,320.3,25.1,20.5,162.3,102.8,2.78,34.4,5.48
Limpopo,Sunflower,Loam,473.9,23.2,26.3,98.9,86.1,3.52,57.8,1.9
Limpopo,Soybean,Loam,646.7,26.1,37.1,145.3,131.3,2.53,11.2,4.2
North West,Soybean,Sandy,764.7,24.2,43.6,207.3,259.7,4.08,21.7,4.97
KwaZulu-Natal,Maize,Sandy Loam,476.2,25.7,18.5,8.1,191.9,3.2,17.0,5.73
Free State,Wheat,Clay,718.7,25.3,36.6,132.3,158.7,2.48,34.4,4.33
North West,Wheat,Loam,741.7,17.4,39.6,18.6,314.2,5.44,76.7,5.18
Free State,Wheat,Loam,695.4,22.5,29.2,209.0,225.9,1.34,53.6,5.24
Limpopo,Sunflower,Clay,643.4,18.5,36.3,135.5,269.5,2.16,23.1,3.42
Limpopo,Wheat,Loam,573.6,20.2,30.3,60.3,168.2,3.47,4.6,3.62
KwaZulu-Natal,Wheat,Sandy Loam,480.6,18.4,24.3,73.6,134.3,5.51,41.4,3.03
Mpumalanga,Sunflower,Clay,411.0,25.0,22.0,22.6,270.0,0.98,4.8,2.27
Mpumalanga,Maize,Clay,705.4,21.6,47.2,94.3,141.9,4.05,9.4,6.87
Free State,Soybean,Sandy,570.5,13.1,34.9,276.5,299.2,2.73,3.3,3.75
Limpopo,Maize,Sandy,803.5,22.2,44.3,258.2,260.7,1.38,33.8,7.49
North West,Maize,Loam,489.8,21.9,31.0,104.3,250.4,2.68,38.5,6.88
KwaZulu-Natal,Sunflower,Sandy,660.8,20.1,30.5,174.5,209.0,3.12,1.0,2.95
North West,Soybean,Sandy,606.3,19.3,26.2,140.0,127.4,1.45,23.5,3.48
Mpumalanga,Wheat,Loam,699.8,28.6,37.3,168.6,187.2,1.1,1.2,4.7
Free State,Soybean,Loam,648.0,20.5,,185.0,198.9,1.02,37.1,4.74
KwaZulu-Natal,Soybean,Loam,622.8,27.0,35.6,84.3,143.1,4.55,12.2,3.55
Free State,Maize,Clay,744.4,16.1,34.4,39.7,140.6,2.77,5.3,6.95
Limpopo,Sunflower,Sandy Loam,326.2,18.9,22.2,237.8,237.3,1.63,10.5,2.52
North West,Wheat,Sandy Loam,376.8,20.3,15.5,195.3,141.5,3.13,1.0,2.98
KwaZulu-Natal,Sunflower,Sandy Loam,678.1,24.0,40.2,30.6,221.9,0.97,60.0,3.53
Free State,Wheat,Sandy,384.1,22.5,26.0,143.3,184.6,1.5,28.7,3.32
Free State,Wheat,Sandy,755.8,20.6,36.7,135.1,172.1,1.69,20.6,4.72
Mpumalanga,Maize,Sandy,442.7,18.4,24.9,65.6,174.2,1.57,21.0,4.91
North West,Wheat,Loam,526.7,15.3,26.7,271.0,128.4,4.5,11.1,4.52
KwaZulu-Natal,Maize,Sandy Loam,615.0,26.0,28.2,69.1,148.9,2.9,6.3,7.01
Limpopo,Sunflower,Sandy,480.5,15.5,27.2,155.9,156.7,1.6,4.4,2.28
Free State,Maize,Loam,558.0,20.5,30.8,0.0,213.0,2.62,70.4,6.87
Limpopo,Maize,Clay,506.2,20.4,22.3,0.0,162.7,2.82,5.0,5.41
North West,Maize,Loam,500.1,16.7,36.1,121.5,199.3,2.09,34.9,7.66
Limpopo,Sunflower,Sandy Loam,602.6,25.3,34.1,90.2,171.9,0.05,8.0,2.95
KwaZulu-Natal,Sunflower,Clay,580.4,23.9,26.3,215.5,229.8,1.75,14.5,3.05
KwaZulu-Natal,Maize,Clay,404.7,21.4,13.2,70.0,98.1,1.47,37.4,4.92
Free State,Wheat,Loam,391.7,25.3,26.8,74.7,246.6,1.66,74.0,3.68
Mpumalanga,Soybean,Sandy,415.8,19.9,23.1,78.4,173.6,1.85,38.7,2.28
North West,Soybean,Sandy,544.4,21.6,30.0,62.7,181.0,4.08,5.4,2.54
KwaZulu-Natal,Maize,Clay,424.8,19.5,22.6,48.3,137.3,3.84,34.9,4.77
Limpopo,Maize,Clay,451.4,28.8,17.3,141.7,170.6,2.04,33.1,4.88
Mpumalanga,Maize,Loam,289.5,21.7,11.1,168.7,155.0,0.58,8.8,5.78
North West,Sunflower,Clay,335.8,23.8,16.4,214.6,238.4,3.63,7.9,2.54
Limpopo,Sunflower,Clay,824.4,16.1,52.7,208.5,56.1,5.33,8.2,2.94
North West,Sunflower,Sandy,914.4,18.7,46.0,186.4,139.4,3.14,22.5,3.93
North West,Wheat,Loam,687.6,18.5,37.4,90.3,159.4,1.8,7.2,4.52
Free State,Soybean,Loam,641.4,21.0,33.9,162.7,53.1,1.87,1.0,3.5
North West,Soybean,Sandy Loam,836.7,30.0,43.5,220.6,172.4,1.92,11.3,5.08
Mpumalanga,Soybean,Loam,575.1,18.3,26.4,202.9,163.2,4.68,28.2,3.93
KwaZulu-Natal,Sunflower,Sandy Loam,572.2,21.2,30.1,163.5,188.6,2.94,58.3,2.92
Free State,Maize,Loam,513.8,22.8,26.9,50.2,218.8,2.9,31.1,6.35
Limpopo,Sunflower,Sandy Loam,436.3,24.1,24.3,52.7,346.0,6.15,2.5,2.13
KwaZulu-Natal,Sunflower,Clay,506.8,21.8,27.2,198.2,199.7,3.89,49.1,3.09
Free State,Sunflower,Sandy Loam,667.9,22.8,41.9,204.9,118.5,2.72,24.1,2.85
Limpopo,Maize,Loam,289.3,19.4,22.0,334.7,136.7,1.65,26.4,5.98
KwaZulu-Natal,Wheat,Loam,543.3,28.9,25.4,33.6,178.8,3.24,32.8,4.25
